"ID_COMMUNE","CODE_COMMUNE","NOM","CODE_POSTAL","PAYS"
172,"1188","Illiat","1140",1
173,"1189","Injoux-Génissiat","1200",1
174,"1190","Innimond","1680",1
175,"1191","Izenave","1430",1
176,"1192","Izernore","1580",1
177,"1193","Izieu","1300",1
178,"1194","Jassans-Riottier","1480",1
179,"1195","Jasseron","1250",1
180,"1196","Jayat","1340",1
181,"1197","Journans","1250",1
182,"1198","Joyeux","1800",1
183,"1199","Jujurieux","1640",1
184,"1200","Labalme","1450",1
185,"1202","Lagnieu","1150",1
186,"1203","Laiz","1290",1
187,"1204","Le Poizat-Lalleyriat","1130",1
188,"1205","Lancrans","1200",1
189,"1206","Lantenay","1430",1
190,"1207","Lapeyrouse","1330",1
191,"1208","Lavours","1350",1
192,"1209","Léaz","1200",1
193,"1210","Lélex","1410",1
194,"1211","Lent","1240",1
195,"1212","Lescheroux","1560",1
196,"1213","Leyment","1150",1
197,"1214","Leyssard","1450",1
198,"1215","Lhôpital","1420",1
199,"1216","Lhuis","1680",1
200,"1218","Lochieu","1260",1
201,"1219","Lompnas","1680",1
202,"1221","Lompnieu","1260",1
203,"1224","Loyettes","1360",1
204,"1225","Lurcy","1090",1
205,"1227","Magnieu","1300",1
206,"1228","Maillat","1430",1
207,"1229","Malafretaz","1340",1
208,"1230","Mantenay-Montlin","1560",1
209,"1231","Manziat","1570",1
210,"1232","Marboz","1851",1
211,"1233","Marchamp","1680",1
212,"1234","Marignieu","1300",1
213,"1235","Marlieux","1240",1
214,"1236","Marsonnas","1340",1
215,"1237","Martignat","1100",1
216,"1238","Massieux","1600",1
217,"1239","Massignieu-de-Rives","1300",1
218,"1240","Matafelon-Granges","1580",1
219,"1241","Meillonnas","1370",1
220,"1242","Mérignat","1450",1
221,"1243","Messimy-sur-Saône","1480",1
222,"1244","Meximieux","1800",1
223,"1245","Bohas-Meyriat-Rignat","1250",1
224,"1246","Mézériat","1660",1
225,"1247","Mijoux","1170",1
226,"1247","Mijoux","1410",1
227,"1248","Mionnay","1390",1
228,"1249","Miribel","1700",1
229,"1250","Misérieux","1600",1
230,"1252","Mogneneins","1140",1
231,"1254","Montagnat","1250",1
232,"1255","Montagnieu","1470",1
233,"1257","Montanges","1200",1
234,"1258","Montceaux","1090",1
235,"1259","Montcet","1310",1
236,"1260","Le Montellier","1800",1
237,"1261","Monthieux","1390",1
238,"1262","Montluel","1120",1
239,"1263","Montmerle-sur-Saône","1090",1
240,"1264","Montracol","1310",1
241,"1265","Montréal-la-Cluse","1460",1
242,"1266","Montrevel-en-Bresse","1340",1
243,"1267","Nurieux-Volognat","1460",1
244,"1268","Murs-et-Gélignieux","1300",1
245,"1269","Nantua","1130",1
246,"1269","Nantua","1460",1
247,"1272","Neuville-les-Dames","1400",1
248,"1273","Neuville-sur-Ain","1160",1
249,"1274","Les Neyrolles","1130",1
250,"1275","Neyron","1700",1
251,"1276","Niévroz","1120",1
252,"1277","Nivollet-Montgriffon","1230",1
253,"1279","Oncieu","1230",1
254,"1280","Ordonnaz","1510",1
255,"1281","Ornex","1210",1
256,"1282","Outriaz","1430",1
257,"1283","Oyonnax","1100",1
258,"1284","Ozan","1190",1
259,"1285","Parcieux","1600",1
260,"1286","Parves et Nattages","1300",1
261,"1288","Péron","1630",1
262,"1289","Péronnas","1960",1
263,"1290","Pérouges","1800",1
264,"1291","Perrex","1540",1
265,"1293","Peyriat","1430",1
266,"1294","Peyrieu","1300",1
267,"1295","Peyzieux-sur-Saône","1140",1
268,"1296","Pirajoux","1270",1
269,"1297","Pizay","1120",1
270,"1298","Plagne","1130",1
271,"1299","Le Plantay","1330",1
272,"1301","Polliat","1310",1
273,"1302","Pollieu","1350",1
274,"1303","Poncin","1450",1
275,"1304","Pont-d'Ain","1160",1
276,"1305","Pont-de-Vaux","1190",1
277,"1306","Pont-de-Veyle","1290",1
278,"1307","Port","1460",1
279,"1308","Pougny","1550",1
280,"1309","Pouillat","1250",1
